representacao,tipo,algoritmo,vertices,densidade,execucao,tempo_ns,memoria_bytes
MA,esparso,Dijkstra,200,0.20,7,289400,3519640
LA,esparso,Bellman-Ford,200,0.20,7,2425700,3670016
MA,esparso,Bellman-Ford,200,0.20,7,1848700,3519640
LA,esparso,Dijkstra,200,0.20,8,147600,3670016
MA,esparso,Dijkstra,200,0.20,8,275400,3519640
LA,esparso,Bellman-Ford,200,0.20,8,2394700,3670016
MA,esparso,Bellman-Ford,200,0.20,8,1853600,3519640
LA,esparso,Dijkstra,200,0.20,9,146400,3670016
MA,esparso,Dijkstra,200,0.20,9,293000,3519640
LA,esparso,Bellman-Ford,200,0.20,9,2389200,3670016
MA,esparso,Bellman-Ford,200,0.20,9,1844200,3519640
LA,esparso,Dijkstra,200,0.20,10,123500,3670016
MA,esparso,Dijkstra,200,0.20,10,301800,3519640
LA,esparso,Bellman-Ford,200,0.20,10,2385800,3670016
MA,esparso,Bellman-Ford,200,0.20,10,1837300,3519640
LA,denso,Dijkstra,500,0.60,1,1191500,8677008
MA,denso,Dijkstra,500,0.60,1,3587400,20277304
LA,denso,Bellman-Ford,500,0.60,1,149441300,8677008
MA,denso,Bellman-Ford,500,0.60,1,74233800,20277304
LA,denso,Dijkstra,500,0.60,2,1340500,8677008
MA,denso,Dijkstra,500,0.60,2,3730600,20277304
LA,denso,Bellman-Ford,500,0.60,2,134102400,8677008
MA,denso,Bellman-Ford,500,0.60,2,81832400,20277304
LA,denso,Dijkstra,500,0.60,3,1570500,8677008
MA,denso,Dijkstra,500,0.60,3,2738300,20277304
LA,denso,Bellman-Ford,500,0.60,3,121985300,8677008
MA,denso,Bellman-Ford,500,0.60,3,82575500,20277304
LA,denso,Dijkstra,500,0.60,4,1514100,8677008
MA,denso,Dijkstra,500,0.60,4,2696200,20277304
LA,denso,Bellman-Ford,500,0.60,4,130087300,8677008
MA,denso,Bellman-Ford,500,0.60,4,80731600,20277304
LA,denso,Dijkstra,500,0.60,5,2357900,8677008
MA,denso,Dijkstra,500,0.60,5,3263500,20277304
LA,denso,Bellman-Ford,500,0.60,5,200726700,8677008
MA,denso,Bellman-Ford,500,0.60,5,99622800,20277304
LA,denso,Dijkstra,500,0.60,6,1571800,8677008
MA,denso,Dijkstra,500,0.60,6,4313200,20277304
LA,denso,Bellman-Ford,500,0.60,6,153207700,8677008
MA,denso,Bellman-Ford,500,0.60,6,103312400,20277304
LA,denso,Dijkstra,500,0.60,7,1699400,8677008
MA,denso,Dijkstra,500,0.60,7,19800500,20277304
LA,denso,Bellman-Ford,500,0.60,7,157161300,8677008
MA,denso,Bellman-Ford,500,0.60,7,101959200,20277304
LA,denso,Dijkstra,500,0.60,8,1374400,8677008
MA,denso,Dijkstra,500,0.60,8,3594700,20277304
LA,denso,Bellman-Ford,500,0.60,8,139747400,8677008
MA,denso,Bellman-Ford,500,0.60,8,87158500,20277304
LA,denso,Dijkstra,500,0.60,9,1663700,8677008
MA,denso,Dijkstra,500,0.60,9,3208300,20277304
LA,denso,Bellman-Ford,500,0.60,9,145726600,8677008
MA,denso,Bellman-Ford,500,0.60,9,119095100,20277304
LA,denso,Dijkstra,500,0.60,10,2112800,8677008
MA,denso,Dijkstra,500,0.60,10,4156500,20277304
LA,denso,Bellman-Ford,500,0.60,10,142376900,8677008
MA,denso,Bellman-Ford,500,0.60,10,83431400,20277304
LA,denso,Dijkstra,500,0.80,1,1988600,38262368
MA,denso,Dijkstra,500,0.80,1,4911000,30411912
LA,denso,Bellman-Ford,500,0.80,1,313296400,38262368
MA,denso,Bellman-Ford,500,0.80,1,106193800,30411912
